upstream_row,upstream_col,downstream_row,downstream_col,contribution,slope
89,26,90,27,1,
85,29,86,30,1,
84,29,83,30,1,
86,29,87,30,1,0.13605794592489542
88,27,89,28,1,0.053640854802793646
87,28,88,29,1,0.07852939519359683
85,30,86,31,1,0.17412159601953178
84,30,83,31,1,0.19130157493852118
86,28,87,29,1,
87,27,88,28,1,
88,26,89,27,1,
88,28,89,29,1,0.3622556033649663
89,27,90,28,1,0.38086881469374584
87,29,88,30,1,0.37950420950814184
86,30,87,31,1,0.41145931016050546
84,31,83,32,1,0.4080945562445006
85,31,86,32,1,0.4345301042128946
83,30,82,31,1,
89,28,90,29,1,0.40483116617764314
88,29,89,30,1,0.3870837658803844
90,27,91,28,1,
87,30,88,31,1,0.38365125328306715
86,31,87,32,1,0.41100796211691476
83,31,82,32,1,0.4834570739806024
89,29,90,30,1,0.19944248613372675
88,30,89,31,1,0.18787159607761914
84,32,83,33,1,0.3995638793135988
90,28,91,29,1,0.23258908323818356
87,31,88,32,1,0.18842994157813628
89,30,90,31,1,0.08686290569518437
85,32,84,33,1,0.3593082067495772
90,29,91,30,1,0.12139416508380496
90,30,91,31,1,0.11768349558921481
88,31,89,32,1,0.09176920032315712
89,31,90,32,1,0.10212004742963493
86,32,85,33,1,0.1859310249695815
87,32,88,33,1,0.09862762560283621
88,32,89,33,1,0.08998889109684755
91,28,92,29,1,
83,32,82,33,1,0.274078243244118
91,29,92,30,1,0.14660475365443318
90,31,91,32,1,0.12942857956517145
89,32,90,33,1,0.1020934458349465
87,33,88,34,1,0.10029363460189736
82,31,81,32,1,
91,30,92,31,1,0.16688049423668755
86,33,85,34,1,0.10510232533290279
85,33,84,34,1,0.15205556032661052
88,33,89,34,1,0.10363930515616092
90,32,91,33,1,0.10556645724200941
84,33,83,34,1,0.19428429921512996
89,33,90,34,1,0.10102734427870055
91,31,92,32,1,0.1428455158447672
83,33,82,34,1,0.13072578457780004
90,33,91,34,1,0.12396809601022264
87,34,88,35,1,0.11065539810033997
86,34,85,35,1,0.1102209172340636
92,29,93,30,1,
88,34,89,35,1,0.11967424012510536
85,34,84,35,1,0.12177712571247713
82,32,81,33,1,0.14228295777480668
91,32,92,33,1,0.15349919559442918
84,34,83,35,1,0.1200759743334707
89,34,90,35,1,0.12304205582279218
92,30,93,31,1,0.17629667355801368
82,33,81,34,1,0.08764816734164543
83,34,82,35,1,0.10932643493375355
81,32,80,33,1,
91,33,92,34,1,0.1457844042794524
87,35,86,36,1,0.12776201573224033
90,34,91,35,1,0.12785802118722592
92,31,93,32,1,0.17405239366310638
86,35,85,36,1,0.12875944451446475
82,34,81,35,1,0.09016909704868725
81,33,80,34,1,0.10002336201243706
88,35,89,36,1,0.12456541276203205
85,35,84,36,1,0.12512601170728677
84,35,83,36,1,0.12021766491948868
89,35,90,36,1,0.1208209954497469
92,32,93,33,1,0.15856091107665116
81,34,80,35,1,0.0872552264894525
91,34,92,35,1,0.12582924594241296
83,35,82,36,1,0.09776541773595934
82,35,81,36,1,0.08713825852465897
90,35,91,36,1,0.13011367794550047
