upstream_row,upstream_col,downstream_row,downstream_col,contribution,slope
89,26,88,26,0.1407694259827924,0.097802734375
89,26,88,27,0.018728790085119407,0.013012249421859379
89,26,89,27,0.2677114008611842,0.18599853515625
89,26,90,27,0.572790383070904,0.39795904044452124
85,29,84,29,0.015263480102986511,0.00379638671875
85,29,84,30,0.072201446458599,0.017958198953352197
85,29,85,30,0.09567895325007139,0.023797607421875
85,29,86,28,0.1540852786715595,0.03832463511313807
85,29,86,29,0.026527045002135718,0.006597900390625
85,29,86,30,0.6362437965146478,0.15824880582133263
84,29,83,30,0.863658712196606,0.22641745577764072
84,29,84,30,0.08239348558715605,0.021600341796875
84,29,85,30,0.053947802216237996,0.014142998791188454
86,29,85,30,0.013747652761829038,0.012162029476218816
86,29,86,28,0.05380733512359653,0.047601318359375
86,29,86,30,0.24551709548766587,0.21719970703125
86,29,87,28,0.00431748498730259,0.003819515999451261
86,29,87,29,0.23308462749270228,0.206201171875
86,29,87,30,0.4495258041469038,0.39767851102083274
88,27,87,27,0.09463187816604005,0.07879638671875
88,27,87,28,0.004245023720115087,0.0035346707384752343
88,27,88,26,0.09535756026816539,0.079400634765625
88,27,88,28,0.16765455595768147,0.139599609375
88,27,89,27,0.2012778266894883,0.167596435546875
88,27,89,28,0.43683315519850974,0.36373445075452293
87,28,86,28,0.0519596611974371,0.04219970703125
87,28,87,27,0.09086552842612264,0.073797607421875
87,28,87,29,0.24724051109842105,0.200799560546875
87,28,88,28,0.16573132895387338,0.134600830078125
87,28,88,29,0.4442029703241458,0.36076515470071224
85,30,84,30,0.0015357210839128618,0.00159912109375
85,30,84,31,0.1474942982747374,0.1535833857135283
85,30,85,31,0.25199893450222044,0.26240234375
85,30,86,30,0.19207064304449106,0.2
85,30,86,31,0.4069004030946382,0.42369869402726396
84,30,83,30,0.25856465273801515,0.298602294921875
84,30,83,31,0.3950546232032399,0.45622715966326866
84,30,84,31,0.1866921037818132,0.2156005859375
84,30,85,31,0.15968862027693162,0.1844157272955394
86,28,87,27,0.16613182722546693,0.022343089637467995
86,28,87,29,0.8338681727745331,0.11214703191609153
87,27,88,26,0.009839976145512375,0.0004272678914640393
87,27,88,28,0.9901600238544876,0.0429943710582299
88,26,89,27,1.0,0.06236384880459968
88,28,87,29,0.03842917485571043,0.04680957122039364
88,28,88,29,0.3083541761942767,0.37559814453125
88,28,89,27,0.01625250092782074,0.01979674563783382
88,28,89,28,0.307697762318599,0.374798583984375
88,28,89,29,0.32926638570359307,0.40107075912881995
89,27,89,28,0.306660919406743,0.3468017578125
89,27,90,27,0.33318746672958954,0.376800537109375
89,27,90,28,0.36015161386366756,0.4072941964974174
87,29,86,30,0.007450073220497338,0.007777138792103019
87,29,87,30,0.34122122320747633,0.356201171875
87,29,88,29,0.29638770128227193,0.3093994140625
87,29,88,30,0.3549410022897544,0.37052326280778486
86,30,85,31,0.03726073416602551,0.04412512042755897
86,30,86,31,0.3370982630595467,0.399200439453125
86,30,87,30,0.2915007042599472,0.34520263671875
86,30,87,31,0.3341402985144805,0.3956975417058631
84,31,83,30,0.030354468646696813,0.058691071272923945
84,31,83,31,0.22218612981787625,0.42960205078125
84,31,83,32,0.2571681297295301,0.4972405614065289
84,31,84,32,0.26087125215638207,0.504400634765625
84,31,85,31,0.023378377481760457,0.04520263671875
84,31,85,32,0.20604164216775422,0.39838630833598526
85,31,84,32,0.20313564734337775,0.3247020183262323
85,31,85,32,0.3241896427321747,0.51820068359375
85,31,86,31,0.21070303026553122,0.336798095703125
85,31,86,32,0.2619716796589163,0.4187484286584836
83,30,82,31,0.5733851334224215,0.4658428451398533
83,30,83,31,0.42661486657757847,0.346600341796875
89,28,88,29,0.0008656704083696591,0.0005653746846645369
89,28,89,29,0.2945939450005525,0.192401123046875
89,28,90,27,0.03247916074150285,0.02121234026813892
89,28,90,28,0.3509371513707689,0.22919921875
89,28,90,29,0.321124072478806,0.2097281129868181
88,29,87,30,0.0527011247383529,0.03309384032066923
88,29,88,30,0.34174458669307367,0.214599609375
88,29,89,29,0.3051207640918364,0.1916015625
88,29,89,30,0.30043352447673716,0.18865819534916717
90,27,90,28,0.44510281774395843,0.199200439453125
90,27,91,28,0.5548971822560416,0.2483375933609322
87,30,86,31,0.06335502833833632,0.03818221248265006
87,30,87,31,0.3557468971224101,0.214398193359375
87,30,88,30,0.27842382485521955,0.1677978515625
87,30,88,31,0.3024742496840341,0.18229233535008174
86,31,85,32,0.17570348602921296,0.12827100002224961
86,31,86,32,0.3498448865296581,0.255401611328125
86,31,87,31,0.21971379180306883,0.160400390625
86,31,87,32,0.2547378356380602,0.18596942871904498
83,31,82,31,0.3295294717866301,0.312200927734375
83,31,82,32,0.32585583613229974,0.30872047285056226
83,31,83,32,0.2887884426849771,0.273602294921875
83,31,84,32,0.05582624939609312,0.05289058595850305
89,29,88,30,0.05476984660793299,0.01626207489935859
89,29,89,30,0.25327456953464095,0.075201416015625
89,29,90,28,0.0876346616770775,0.026020183006431243
89,29,90,29,0.35093770400904073,0.10419921875
89,29,90,30,0.2533832181713078,0.07523367559597105
88,30,87,31,0.12357215932666536,0.032951417690181214
88,30,88,31,0.33752101757236486,0.09000244140625
88,30,89,30,0.195769514668143,0.052203369140625
88,30,89,31,0.34313730843282675,0.09150006633261715
84,32,83,32,0.20857279772661474,0.1988037109375
84,32,83,33,0.25000428569564,0.2382946399928835
84,32,84,33,0.2962806944004893,0.282403564453125
84,32,85,32,0.061902039654402094,0.059002685546875
84,32,85,33,0.18324018252285387,0.17465761918846673
90,28,90,29,0.18834750769076908,0.067401123046875
90,28,91,28,0.42475833845249605,0.152001953125
90,28,91,29,0.38689415385673476,0.13845206018349882
87,31,86,32,0.22690694270034195,0.06717600738017951
87,31,87,32,0.3465623425366784,0.10260009765625
87,31,88,31,0.14660349897550984,0.043402099609375
87,31,88,32,0.27992721578746976,0.08287270759487357
89,30,88,31,0.09908479971287215,0.026727980321583793
89,30,89,31,0.2861823269398928,0.077197265625
89,30,90,29,0.07601354487903368,0.02050454295298637
89,30,90,30,0.11564499312063507,0.031195068359375
89,30,90,31,0.42307433534756633,0.11412368539377366
85,32,84,33,0.2881399918807209,0.1579682763976441
85,32,85,33,0.34291985962150323,0.18800048828125
85,32,86,32,0.13497696182232016,0.0739990234375
85,32,86,33,0.23396318667545563,0.12826668418496212
90,29,90,30,0.007145206514945943,0.002197265625
90,29,91,28,0.19453235772937283,0.05982182064225302
90,29,91,29,0.4175380818192161,0.128399658203125
90,29,91,30,0.38078435393646515,0.11709729728487187
90,30,89,31,0.05714379762698097,0.03252846563600469
90,30,90,31,0.22872685404797133,0.1302001953125
90,30,91,29,0.15676825043559578,0.089238567593959
90,30,91,30,0.287055847392288,0.1634033203125
90,30,91,31,0.27030525049716403,0.15386823097450433
88,31,87,32,0.17204738330789546,0.04185930585161331
88,31,88,32,0.3033181031793811,0.073797607421875
88,31,89,31,0.1619318795817472,0.039398193359375
88,31,89,32,0.3627026339309762,0.08824592501783042
89,31,88,32,0.08150544754588208,0.02432405895243763
89,31,89,32,0.28616100101115005,0.085400390625
89,31,90,31,0.2821320046418535,0.084197998046875
89,31,90,32,0.35020154680111437,0.10451231575447653
86,32,85,33,0.3018852177698267,0.08061120885621542
86,32,86,33,0.402198482606477,0.1073974609375
86,32,87,32,0.028457439807062054,0.007598876953125
86,32,87,33,0.26745885981663414,0.0714184754338073
87,32,86,33,0.27650053716148687,0.07056825548816674
87,32,87,33,0.3659681047143568,0.093402099609375
87,32,88,32,0.05720418914439923,0.014599609375
87,32,88,33,0.300327168979757,0.07664927022627614
88,32,87,33,0.18808141968902808,0.05572177521911325
88,32,88,33,0.31660543278717684,0.093798828125
88,32,89,32,0.17214699351702564,0.0510009765625
88,32,89,33,0.32316615400676935,0.09574253438624493
91,28,91,29,0.23902540792747104,0.043798828125
91,28,92,29,0.760974592072529,0.13944038692233987
83,32,82,31,0.05171686385649557,0.02729335500624833
83,32,82,32,0.3088502093043265,0.162994384765625
83,32,82,33,0.2655600442776693,0.14014818423749242
83,32,83,33,0.261860566900152,0.13819580078125
83,32,84,33,0.11201231566135672,0.05911402332710047
91,29,91,30,0.11329834431595515,0.037200927734375
91,29,92,29,0.46719069527365065,0.153399658203125
91,29,92,30,0.41951096041039426,0.13774426286834626
90,31,89,32,0.00292436474619856,0.0008502199456405631
90,31,90,32,0.2187709775134562,0.063604736328125
90,31,91,30,0.08075403157015314,0.023478154844084585
90,31,91,31,0.30062377871535295,0.08740234375
90,31,91,32,0.3969268474548391,0.11540117323087826
89,32,88,33,0.11127745139512879,0.03026265106005903
89,32,89,33,0.3103413404687644,0.0843994140625
89,32,90,32,0.22945688927919058,0.06240234375
89,32,90,33,0.3489243188569162,0.09489231444060436
87,33,86,33,0.02201097641692319,0.006396484375
87,33,86,34,0.26473839415057626,0.07693411548725217
87,33,87,34,0.3682007896613363,0.107000732421875
87,33,88,33,0.051603978107233085,0.014996337890625
87,33,88,34,0.29344586166393116,0.08527662896401973
82,31,81,32,0.5282566694249218,0.13929796429185184
82,31,82,32,0.4717433305750783,0.124395751953125
91,30,91,31,0.12034288655121507,0.05419921875
91,30,92,29,0.18243736172457709,0.08216491027972102
91,30,92,30,0.3499294677521311,0.157598876953125
91,30,92,31,0.3472902839720768,0.156410259136851
86,33,85,33,0.02493413139021393,0.00660400390625
86,33,85,34,0.31983650743033115,0.08471125427935519
86,33,86,34,0.38664034793438934,0.10240478515625
86,33,87,34,0.2685890132450656,0.07113794601011879
85,33,84,33,0.11457609213599429,0.035400390625
85,33,84,34,0.2998067729513506,0.09263081570194621
